Metodo,Iteracoes,PiCalculado,ErroAbsoluto,Tempo_s
Sequencial,10,3.041839618929403244,0.099753034660389872,0.000000300
Sequencial,100,3.131592903558553687,0.009999750031239429,0.000000300
Sequencial,1000,3.140592653839794135,0.000999999749998981,0.000002600
Sequencial,10000,3.141492653590034489,0.000099999999758627,0.000025700
Sequencial,100000,3.141582653589719776,0.000010000000073340,0.000280400
Sequencial,1000000,3.141591653589774324,0.000001000000018792,0.002463200
Sequencial,10000000,3.141592553589791503,0.000000100000001613,0.027348700
Sequencial,100000000,3.141592643589325995,0.000000010000467121,0.250891900
Sequencial,1000000000,3.141592652588050427,0.000000001001742689,2.357038300
ILP_Otimizado,10,3.058402765927331846,0.083189887662461270,0.000000100
ILP_Otimizado,100,3.131592903558553687,0.009999750031239429,0.000000200
ILP_Otimizado,1000,3.140592653839794135,0.000999999749998981,0.000001200
ILP_Otimizado,10000,3.141492653590069573,0.000099999999723543,0.000012300
ILP_Otimizado,100000,3.141582653589965801,0.000009999999827315,0.000106300
ILP_Otimizado,1000000,3.141591653590345423,0.000000999999447693,0.001147500
ILP_Otimizado,10000000,3.141592553590744963,0.000000099999048153,0.009797000
ILP_Otimizado,100000000,3.141592643596611723,0.000000009993181393,0.099620100
ILP_Otimizado,1000000000,3.141592652591443269,0.000000000998349847,1.002762100
